id,original_title,budget,revenue,original_language,status,release_date,overview,tagline,list_keywords,primary_genre,list_genres,list_productioin_countries,num_production_companies,num_productioin_countries,list_spoken_languages,num_spoken_languages,popularity,vote_average,vote_count,runtime,animated,movie_id,title,movie_director,crew_size,cast_size,year
1452,Superman Returns,270000000,391081192,en,Released,2006-06-28,"Superman returns to discover his 5-year absence has allowed Lex Luthor to walk free, and that those he was closest too felt abandoned and have moved on. Luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever, as well as ridding himself of the Man of Steel.", ,"['saving the world', 'dc comics', 'invulnerability', 'sequel', 'superhero', 'based on comic book', 'kryptonite', 'super powers', 'superhuman strength', 'lex luthor']",Adventure,"['Adventure', 'Fantasy', 'Action', 'Science Fiction']",['United States of America'],4,1,"['English', 'Français', 'Deutsch']",3,57.925623,5.4,1400,154.0,0,1452,Superman Returns,Bryan Singer,24,18,2006
10764,Quantum of Solace,200000000,586090727,en,Released,2008-10-30,"Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.","For love, for hate, for justice, for revenge.","['killing', 'undercover', 'secret agent', 'british secret service']",Adventure,"['Adventure', 'Action', 'Thriller', 'Crime']","['United Kingdom', 'United States of America']",1,2,"['English', 'Español', 'Italiano', 'Français', 'Deutsch']",5,107.92881100000001,6.1,2965,106.0,0,10764,Quantum of Solace,Marc Forster,17,32,2008
58,Pirates of the Caribbean: Dead Man's Chest,200000000,1065659812,en,Released,2006-06-20,"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.",Jack is back!,"['witch', 'fortune teller', 'bondage', 'exotic island', 'monster', 'captain', 'card game', 'east india trading company', 'compass', 'ship', 'daughter', 'pirate', 'swashbuckler', 'aftercreditsstinger']",Adventure,"['Adventure', 'Fantasy', 'Action']","['Jamaica', 'United States of America', 'Bahamas', 'Dominica']",3,4,"['English', 'Türkçe', 'ελληνικά', '普通话']",4,145.84737900000002,7.0,5246,151.0,0,58,Pirates of the Caribbean: Dead Man's Chest,Gore Verbinski,23,33,2006
57201,The Lone Ranger,255000000,89289910,en,Released,2013-07-03,"The Texas Rangers chase down a gang of outlaws led by Butch Cavendish, but the gang ambushes the Rangers, seemingly killing them all. One survivor is found, however, by an American Indian named Tonto, who nurses him back to health. The Ranger, donning a mask and riding a white stallion named Silver, teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice.",Never Take Off the Mask,"['texas', 'horse', 'survivor', 'texas ranger', 'partner', 'outlaw', 'escape', 'lawyer', 'train', 'lone ranger', 'comanche', 'the lone ranger', 'tonto']",Action,"['Action', 'Adventure', 'Western']",['United States of America'],6,1,['English'],1,49.046956,5.9,2311,149.0,0,57201,The Lone Ranger,Gore Verbinski,35,60,2013
49521,Man of Steel,225000000,662845518,en,Released,2013-06-12,"A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.",You will believe that a man can fly.,"['saving the world', 'dc comics', 'superhero', 'based on comic book', 'superhuman', 'alien invasion', 'reboot', 'super powers', 'dc extended universe']",Action,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']","['United Kingdom', 'United States of America']",5,2,['English'],1,99.398009,6.5,6359,143.0,0,49521,Man of Steel,Zack Snyder,48,33,2013
2454,The Chronicles of Narnia: Prince Caspian,225000000,419651413,en,Released,2008-05-15,"One year after their incredible adventures in the Lion, the Witch and the Wardrobe, Peter, Edmund, Lucy and Susan Pevensie return to Narnia to aid a young prince whose life has been threatened by the evil King Miraz. Now, with the help of a colorful cast of new characters, including Trufflehunter the badger and Nikabrik the dwarf, the Pevensie clan embarks on an incredible quest to ensure that Narnia is returned to its rightful heir.",Hope has a new face.,"['based on novel', 'fictional place', 'brother sister relationship', 'lion', 'human being', 'wretch', 'leap in time', 'matter of life and death', 'faith', 'uncle', 'narnia', 'fantasy world']",Adventure,"['Adventure', 'Family', 'Fantasy']","['Czech Republic', 'Poland', 'Slovenia', 'United States of America']",7,4,['English'],1,53.978602,6.3,1630,150.0,0,2454,The Chronicles of Narnia: Prince Caspian,Andrew Adamson,83,21,2008
24428,The Avengers,220000000,1519557910,en,Released,2012-04-25,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",Some assembly required.,"['new york', 'shield', 'marvel comic', 'superhero', 'based on comic book', 'alien invasion', 'superhero team', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe']",Science Fiction,"['Science Fiction', 'Action', 'Adventure']",['United States of America'],2,1,['English'],1,144.448633,7.4,11776,143.0,0,24428,The Avengers,Joss Whedon,147,115,2012
1865,Pirates of the Caribbean: On Stranger Tides,380000000,1045713802,en,Released,2011-05-14,"Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.",Live Forever Or Die Trying.,"['sea', 'captain', 'mutiny', 'sword', 'prime minister', 'sailing', 'silver', 'ship', 'duke', 'mermaid', 'pirate', 'soldier', 'battle', 'swashbuckler', 'aftercreditsstinger', '3d']",Adventure,"['Adventure', 'Action', 'Fantasy']",['United States of America'],3,1,"['English', 'Español']",2,135.413856,6.4,4948,136.0,0,1865,Pirates of the Caribbean: On Stranger Tides,Rob Marshall,39,35,2011
41154,Men in Black 3,225000000,624026776,en,Released,2012-05-23,"Agents J (Will Smith) and K (Tommy Lee Jones) are back...in time. J has seen some inexplicable things in his 15 years with the Men in Black, but nothing, not even aliens, perplexes him as much as his wry, reticent partner. But when K's life and the fate of the planet are put at stake, Agent J will have to travel back in time to put things right. J discovers that there are secrets to the universe that K never told him - secrets that will reveal themselves as he teams up with the young Agent K (Josh Brolin) to save his partner, the agency, and the future of humankind.",They are back... in time.,"['time travel', 'time machine', 'alien', 'fictional government agency', 'seeing the future', 'changing history']",Action,"['Action', 'Comedy', 'Science Fiction']",['United States of America'],5,1,['English'],1,52.035179,6.2,4160,106.0,0,41154,Men in Black 3,Barry Sonnenfeld,21,18,2012
122917,The Hobbit: The Battle of the Five Armies,250000000,956019788,en,Released,2014-12-10,"Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.",Witness the defining chapter of the Middle-Earth saga,"['corruption', 'elves', 'dwarves', 'orcs', 'middle-earth (tolkien)', 'hobbit', 'dragon', 'battle', 'unlikely friendship', 'epic battle', 'sword and sorcery']",Action,"['Action', 'Adventure', 'Fantasy']","['New Zealand', 'United States of America']",5,2,['English'],1,120.96574299999999,7.1,4760,144.0,0,122917,The Hobbit: The Battle of the Five Armies,Peter Jackson,127,42,2014
1930,The Amazing Spider-Man,215000000,752215857,en,Released,2012-06-27,"Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.",The untold story begins.,"['loss of father', 'vigilante', 'serum', 'marvel comic', 'scientific experiment', 'spider bite', 'masked vigilante', 'reboot', 'super powers', 'genetic engineering', 'social outcast', 'duringcreditsstinger']",Action,"['Action', 'Adventure', 'Fantasy']",['United States of America'],3,1,['English'],1,89.866276,6.5,6586,136.0,0,1930,The Amazing Spider-Man,Marc Webb,106,57,2012
20662,Robin Hood,200000000,310669540,en,Released,2010-05-12,"When soldier Robin happens upon the dying Robert of Loxley, he promises to return the man's sword to his family in Nottingham. There, he assumes Robert's identity; romances his widow, Marion; and draws the ire of the town's sheriff and King John's henchman, Godfrey.","Rise and rise again, until lambs become lions.","['robin hood', 'archer', 'knight', 'sherwood forest', 'bow and arrow', 'middle ages', 'medieval', 'king of england']",Action,"['Action', 'Adventure']","['United Kingdom', 'United States of America']",4,2,"['English', 'ภาษาไทย']",2,37.668301,6.2,1398,140.0,0,20662,Robin Hood,Ridley Scott,18,34,2010
57158,The Hobbit: The Desolation of Smaug,250000000,958400000,en,Released,2013-12-11,"The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug.",Beyond darkness... beyond desolation... lies the greatest danger of all.,"['elves', 'dwarves', 'orcs', 'hobbit', 'dragon', 'wizard', 'sword and sorcery']",Adventure,"['Adventure', 'Fantasy']","['New Zealand', 'United States of America']",4,2,['English'],1,94.370564,7.6,4524,161.0,0,57158,The Hobbit: The Desolation of Smaug,Peter Jackson,108,32,2013
2268,The Golden Compass,180000000,372234864,en,Released,2007-12-04,"After overhearing a shocking secret, precocious orphan Lyra Belacqua trades her carefree existence roaming the halls of Jordan College for an otherworldly adventure in the far North, unaware that it's part of her destiny.",There are worlds beyond our own - the compass will show the way.,"['england', 'compass', 'experiment', 'lordship', 'uncle', 'polar bear', 'orphan', 'animal', 'based on young adult novel']",Adventure,"['Adventure', 'Fantasy']","['United Kingdom', 'United States of America']",4,2,"['Íslenska', 'English', 'Pусский', 'Français']",4,42.990906,5.8,1303,113.0,0,2268,The Golden Compass,Chris Weitz,32,29,2007
254,King Kong,207000000,550000000,en,Released,2005-12-14,"In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady.",The eighth wonder of the world.,"['film business', 'screenplay', 'show business', 'film making', 'film producer', 'exotic island', 'monster', 'indigenous', 'ship', 'dinosaur']",Adventure,"['Adventure', 'Drama', 'Action']","['New Zealand', 'United States of America', 'Germany']",4,3,['English'],1,61.226009999999995,6.6,2337,187.0,0,254,King Kong,Peter Jackson,38,33,2005
597,Titanic,200000000,1845034188,en,Released,1997-11-18,"84 years later, a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fiancé, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning.",Nothing on Earth could come between them.,"['shipwreck', 'iceberg', 'ship', 'panic', 'titanic', 'ocean liner', 'epic', 'rich woman - poor man', 'love', 'disaster', 'tragic love', 'class differences', 'imax', 'star crossed lovers', 'steerage', 'salvage', 'rich snob', '3d', '1910s']",Drama,"['Drama', 'Romance', 'Thriller']",['United States of America'],3,1,"['English', 'Français', 'Deutsch', 'svenska', 'Italiano', 'Pусский']",6,100.025899,7.5,7562,194.0,0,597,Titanic,James Cameron,65,136,1997
271110,Captain America: Civil War,250000000,1153304495,en,Released,2016-04-27,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.",Divided We Fall,"['civil war', 'war', 'marvel comic', 'sequel', 'superhero', 'based on comic book', 'imax', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe', '3d']",Adventure,"['Adventure', 'Action', 'Science Fiction']",['United States of America'],5,1,"['Română', 'English', 'Deutsch', 'Pусский']",4,198.37239499999998,7.1,7241,147.0,0,271110,Captain America: Civil War,Anthony Russo,119,100,2016
44833,Battleship,209000000,303025485,en,Released,2012-04-11,"When mankind beams a radio signal into space, a reply comes from ‘Planet G’, in the form of several alien crafts that splash down in the waters off Hawaii. Lieutenant Alex Hopper is a weapons officer assigned to the USS John Paul Jones, part of an international naval coalition which becomes the world's last hope for survival as they engage the hostile alien force of unimaginable strength. While taking on the invaders, Hopper must also try to live up to the potential his brother, and his fiancée's father, Admiral Shane, expect of him.",The Battle for Earth Begins at Sea,"['fight', 'u.s. navy', 'mind reading', 'hong kong', 'soccer', 'scientist', 'fictional war', 'naval', 'armada', 'battleship', 'naval combat', 'jds myoko', 'lost communication', 'taser', 'buoy', 'communications expert', 'joint chiefs of staff', 'crash landing', 'jet fighter pilot', 'navy lieutenant', 'permission to marry', 'uss john paul jones', 'based on board game', 'aftercreditsstinger', 'mighty mo', 'uss missouri']",Thriller,"['Thriller', 'Action', 'Adventure', 'Science Fiction']",['United States of America'],4,1,"['English', 'ภาษาไทย']",2,64.928382,5.5,2114,131.0,0,44833,Battleship,Peter Berg,122,46,2012
135397,Jurassic World,150000000,1513528810,en,Released,2015-06-09,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",The park is open.,"['monster', 'dna', 'tyrannosaurus rex', 'velociraptor', 'island', 'sequel', 'suspense', 'disaster', 'escape', 'dinosaur', 'amusement park', 'animal attack', 'theme park', 'jurassic park', '3d', 'animal horror']",Action,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",['United States of America'],5,1,['English'],1,418.708552,6.5,8662,124.0,0,135397,Jurassic World,Colin Trevorrow,435,28,2015
37724,Skyfall,200000000,1108561013,en,Released,2012-10-25,"When Bond's latest assignment goes gravely wrong and agents around the world are exposed, MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory, the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out, M is left with one ally she can trust: Bond. 007 takes to the shadows - aided only by field agent, Eve - following a trail to the mysterious Silva, whose lethal and hidden motives have yet to reveal themselves.",Think on your sins.,"['spy', 'secret agent', 'sociopath', 'killer', 'art gallery', 'british secret service', 'istanbul turkey', 'imax', 'uzi', 'booby trap', 'impersonating a police officer', 'macao']",Action,"['Action', 'Adventure', 'Thriller']","['United Kingdom', 'United States of America']",1,2,['English'],1,93.004993,6.9,7604,143.0,0,37724,Skyfall,Sam Mendes,30,24,2012
558,Spider-Man 2,200000000,783766341,en,Released,2004-06-25,"Peter Parker is going through a major identity crisis. Burned out from being Spider-Man, he decides to shelve his superhero alter ego, which leaves the city suffering in the wake of carnage left by the evil Doc Ock. In the meantime, Parker still can't act on his feelings for Mary Jane Watson, a girl he's loved since childhood.",There's a hero in all of us.,"['dual identity', ""love of one's life"", 'pizza boy', 'marvel comic', 'sequel', 'superhero', 'doctor', 'scientist', 'tentacle', 'death', 'super villain']",Action,"['Action', 'Adventure', 'Fantasy']",['United States of America'],3,1,"['English', 'Pусский', '普通话']",3,35.149586,6.7,4321,127.0,0,558,Spider-Man 2,Sam Raimi,128,76,2004
68721,Iron Man 3,200000000,1215439994,en,Released,2013-04-18,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",Unleash the power behind the armor.,"['terrorist', 'war on terror', 'tennessee', 'malibu', 'marvel comic', 'superhero', 'based on comic book', 'tony stark', 'iron man', 'aftercreditsstinger', 'marvel cinematic universe', 'mandarin', '3d', 'war machine', 'iron patriot', 'extremis']",Action,"['Action', 'Adventure', 'Science Fiction']","['China', 'United States of America']",1,2,['English'],1,77.68208,6.8,8806,130.0,0,68721,Iron Man 3,Shane Black,29,107,2013
12155,Alice in Wonderland,200000000,1025491110,en,Released,2010-03-03,"Alice, an unpretentious and individual 19-year-old, is betrothed to a dunce of an English nobleman. At her engagement party, she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit. Arriving in a strange and surreal place called 'Underland,' she finds herself in a world that resembles the nightmares she had as a child, filled with talking animals, villainous queens and knights, and frumious bandersnatches. Alice realizes that she is there for a reason – to conquer the horrific Jabberwocky and restore the rightful queen to her throne.",You're invited to a very important date.,"['based on novel', 'fictional place', 'queen', 'fantasy', 'alice in wonderland', 'fantasy world', '3d']",Family,"['Family', 'Fantasy', 'Adventure']",['United States of America'],5,1,['English'],1,78.530105,6.4,4645,108.0,0,12155,Alice in Wonderland,Tim Burton,24,35,2010
36668,X-Men: The Last Stand,210000000,459359555,en,Released,2006-05-24,"When a cure is found to treat mutations, lines are drawn amongst the X-Men and The Brotherhood, a band of powerful mutants organized under Xavier's former ally, Magneto.",Take a Stand,"['mutant', 'marvel comic', 'based on comic book', 'superhuman', 'beast', 'cyclops', 'aftercreditsstinger']",Adventure,"['Adventure', 'Action', 'Science Fiction', 'Thriller']","['Canada', 'United Kingdom', 'United States of America']",11,3,['English'],1,3.857526,6.3,3525,104.0,0,36668,X-Men: The Last Stand,Brett Ratner,39,32,2006
62211,Monsters University,200000000,743559607,en,Released,2013-06-20,A look at the relationship between Mike and Sulley during their days at Monsters University — when they weren't necessarily the best of friends.,School never looked this scary.,"['monster', 'dormitory', 'games', 'animation', 'best friend', 'university', 'scary', 'aftercreditsstinger']",Animation,"['Animation', 'Family']",['United States of America'],2,1,['English'],1,89.186492,7.0,3528,104.0,1,62211,Monsters University,Dan Scanlon,13,24,2013
8373,Transformers: Revenge of the Fallen,150000000,836297228,en,Released,2009-06-19,"Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war.",Revenge is coming.,"['egypt', 'sun', 'chaos', 'symbol', 'artifact', 'transformers', 'tank', 'robot', 'imax', 'duringcreditsstinger']",Science Fiction,"['Science Fiction', 'Action', 'Adventure']",['United States of America'],7,1,"['English', 'Español']",2,21.939663,6.0,3138,150.0,0,8373,Transformers: Revenge of the Fallen,Michael Bay,55,37,2009
91314,Transformers: Age of Extinction,210000000,1091405097,en,Released,2014-06-25,"As humanity picks up the pieces, following the conclusion of ""Transformers: Dark of the Moon,"" Autobots and Decepticons have all but vanished from the face of the planet. However, a group of powerful, ingenious businessman and scientists attempt to learn from past Transformer incursions and push the boundaries of technology beyond what they can control - all while an ancient, powerful Transformer menace sets Earth in his cross-hairs.",This is not war. It's extinction.,"['sequel', 'alien', 'transformers', 'giant robot', 'robot', 'imax', 'transforming robot']",Science Fiction,"['Science Fiction', 'Action', 'Adventure']",['United States of America'],8,1,['English'],1,116.840296,5.8,3095,165.0,0,91314,Transformers: Age of Extinction,Michael Bay,86,41,2014
68728,Oz: The Great and Powerful,200000000,491868548,en,Released,2013-03-07,"Oscar Diggs, a small-time circus illusionist and con-artist, is whisked from Kansas to the Land of Oz where the inhabitants assume he's the great wizard of prophecy, there to save Oz from the clutches of evil.","In Oz, nothing is what it seems","['circus', 'witch', 'magic', 'hope', 'illusion', 'lost', 'magic trick', 'wizard', '3d']",Fantasy,"['Fantasy', 'Adventure', 'Family']",['United States of America'],2,1,['English'],1,46.985445,5.7,3530,130.0,0,68728,Oz: The Great and Powerful,Sam Raimi,31,159,2013
102382,The Amazing Spider-Man 2,200000000,705717432,en,Released,2014-04-16,"For Peter Parker, life is busy. Between taking out the bad guys as Spider-Man and spending time with the person he loves, Gwen Stacy, high school graduation cannot come quickly enough. Peter has not forgotten about the promise he made to Gwen’s father to protect her by staying away, but that is a promise he cannot keep. Things will change for Peter when a new villain, Electro, emerges, an old friend, Harry Osborn, returns, and Peter uncovers new clues about his past.",No more secrets.,"['obsession', 'marvel comic', 'sequel', 'based on comic book', 'electrocution', 'medical experiment', 'electricity', 'super powers']",Action,"['Action', 'Adventure', 'Fantasy']",['United States of America'],4,1,['English'],1,89.270217,6.5,4179,142.0,0,102382,The Amazing Spider-Man 2,Marc Webb,102,65,2014
