,cast,crew,budget,genres,keywords,original_language,original_title,popularity,production_companies,production_countries,revenue,runtime,status,vote_average,vote_count,release_year,release_month,release_quarter
20,"['Andrew Garfield', 'Emma Stone', 'Rhys Ifans']",['Marc Webb'],215000000,"['Action', 'Adventure', 'Fantasy']","['loss of father', 'vigilante', 'serum', 'marvel comic', 'scientific experiment', 'spider bite', 'masked vigilante', 'reboot', 'super powers', 'genetic engineering', 'social outcast', 'duringcreditsstinger']",en,The Amazing Spider-Man,89.866276,"['Columbia Pictures', 'Laura Ziskin Productions', 'Marvel Entertainment']",['United States of America'],752215857,136.0,Released,6.5,6586,2012,6,2
21,"['Russell Crowe', 'Cate Blanchett', 'Max von Sydow']",['Ridley Scott'],200000000,"['Action', 'Adventure']","['robin hood', 'archer', 'knight', 'sherwood forest', 'bow and arrow', 'middle ages', 'medieval', 'king of england']",en,Robin Hood,37.668301,"['Imagine Entertainment', 'Universal Pictures', 'Scott Free Productions', 'Relativity Media']","['United Kingdom', 'United States of America']",310669540,140.0,Released,6.2,1398,2010,5,2
22,"['Martin Freeman', 'Ian McKellen', 'Richard Armitage']",['Peter Jackson'],250000000,"['Adventure', 'Fantasy']","['elves', 'dwarves', 'orcs', 'hobbit', 'dragon', 'wizard', 'sword and sorcery']",en,The Hobbit: The Desolation of Smaug,94.370564,"['WingNut Films', 'New Line Cinema', 'Warner Bros. Pictures', 'Metro-Goldwyn-Mayer (MGM)']","['New Zealand', 'United States of America']",958400000,161.0,Released,7.6,4524,2013,12,4
23,"['Dakota Blue Richards', 'Nicole Kidman', 'Daniel Craig']",['Chris Weitz'],180000000,"['Adventure', 'Fantasy']","['england', 'compass', 'experiment', 'lordship', 'uncle', 'polar bear', 'orphan', 'animal', 'based on young adult novel']",en,The Golden Compass,42.990906,"['New Line Cinema', 'Ingenious Film Partners', 'Depth of Field', 'Scholastic Productions']","['United Kingdom', 'United States of America']",372234864,113.0,Released,5.8,1303,2007,12,4
24,"['Naomi Watts', 'Jack Black', 'Adrien Brody']",['Peter Jackson'],207000000,"['Adventure', 'Drama', 'Action']","['film business', 'screenplay', 'show business', 'film making', 'film producer', 'exotic island', 'monster', 'indigenous', 'ship', 'dinosaur']",en,King Kong,61.226009999999995,"['WingNut Films', 'Universal Pictures', 'Big Primate Pictures', 'MFPV Film']","['New Zealand', 'United States of America', 'Germany']",550000000,187.0,Released,6.6,2337,2005,12,4
25,"['Kate Winslet', 'Leonardo DiCaprio', 'Frances Fisher']",['James Cameron'],200000000,"['Drama', 'Romance', 'Thriller']","['shipwreck', 'iceberg', 'ship', 'panic', 'titanic', 'ocean liner', 'epic', 'rich woman - poor man', 'love', 'disaster', 'tragic love', 'class differences', 'imax', 'star crossed lovers', 'steerage', 'salvage', 'rich snob', '3d', '1910s']",en,Titanic,100.025899,"['Paramount Pictures', 'Twentieth Century Fox Film Corporation', 'Lightstorm Entertainment']",['United States of America'],1845034188,194.0,Released,7.5,7562,1997,11,4
26,"['Chris Evans', 'Robert Downey Jr.', 'Scarlett Johansson']","['Anthony Russo', 'Joe Russo']",250000000,"['Adventure', 'Action', 'Science Fiction']","['civil war', 'war', 'marvel comic', 'sequel', 'superhero', 'based on comic book', 'imax', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe', '3d']",en,Captain America: Civil War,198.37239499999998,"['Studio Babelsberg', 'Marvel Studios', 'Walt Disney Studios Motion Pictures', 'Vita-Ray Dutch Productions (III)', 'Deluxe Digital Studios']",['United States of America'],1153304495,147.0,Released,7.1,7241,2016,4,2
27,"['Taylor Kitsch', 'Alexander Skarsgård', 'Rihanna']",['Peter Berg'],209000000,"['Thriller', 'Action', 'Adventure', 'Science Fiction']","['fight', 'u.s. navy', 'mind reading', 'hong kong', 'soccer', 'scientist', 'fictional war', 'naval', 'armada', 'battleship', 'naval combat', 'jds myoko', 'lost communication', 'taser', 'buoy', 'communications expert', 'joint chiefs of staff', 'crash landing', 'jet fighter pilot', 'navy lieutenant', 'permission to marry', 'uss john paul jones', 'based on board game', 'aftercreditsstinger', 'mighty mo', 'uss missouri']",en,Battleship,64.928382,"['Universal Pictures', 'Hasbro', 'Bluegrass Films', 'Film 44']",['United States of America'],303025485,131.0,Released,5.5,2114,2012,4,2
28,"['Chris Pratt', 'Bryce Dallas Howard', 'Irrfan Khan']",['Colin Trevorrow'],150000000,"['Action', 'Adventure', 'Science Fiction', 'Thriller']","['monster', 'dna', 'tyrannosaurus rex', 'velociraptor', 'island', 'sequel', 'suspense', 'disaster', 'escape', 'dinosaur', 'amusement park', 'animal attack', 'theme park', 'jurassic park', '3d', 'animal horror']",en,Jurassic World,418.708552,"['Universal Studios', 'Amblin Entertainment', 'Legendary Pictures', 'Fuji Television Network', 'Dentsu']",['United States of America'],1513528810,124.0,Released,6.5,8662,2015,6,2
29,"['Daniel Craig', 'Judi Dench', 'Javier Bardem']",['Sam Mendes'],200000000,"['Action', 'Adventure', 'Thriller']","['spy', 'secret agent', 'sociopath', 'killer', 'art gallery', 'british secret service', 'istanbul turkey', 'imax', 'uzi', 'booby trap', 'impersonating a police officer', 'macao']",en,Skyfall,93.004993,['Columbia Pictures'],"['United Kingdom', 'United States of America']",1108561013,143.0,Released,6.9,7604,2012,10,4
30,"['Tobey Maguire', 'Kirsten Dunst', 'James Franco']",['Sam Raimi'],200000000,"['Action', 'Adventure', 'Fantasy']","['dual identity', ""love of one's life"", 'pizza boy', 'marvel comic', 'sequel', 'superhero', 'doctor', 'scientist', 'tentacle', 'death', 'super villain']",en,Spider-Man 2,35.149586,"['Columbia Pictures', 'Laura Ziskin Productions', 'Marvel Enterprises']",['United States of America'],783766341,127.0,Released,6.7,4321,2004,6,2
31,"['Robert Downey Jr.', 'Gwyneth Paltrow', 'Don Cheadle']",['Shane Black'],200000000,"['Action', 'Adventure', 'Science Fiction']","['terrorist', 'war on terror', 'tennessee', 'malibu', 'marvel comic', 'superhero', 'based on comic book', 'tony stark', 'iron man', 'aftercreditsstinger', 'marvel cinematic universe', 'mandarin', '3d', 'war machine', 'iron patriot', 'extremis']",en,Iron Man 3,77.68208,['Marvel Studios'],"['China', 'United States of America']",1215439994,130.0,Released,6.8,8806,2013,4,2
32,"['Mia Wasikowska', 'Johnny Depp', 'Anne Hathaway']",['Tim Burton'],200000000,"['Family', 'Fantasy', 'Adventure']","['based on novel', 'fictional place', 'queen', 'fantasy', 'alice in wonderland', 'fantasy world', '3d']",en,Alice in Wonderland,78.530105,"['Walt Disney Pictures', 'Team Todd', 'Tim Burton Productions', 'Roth Films', 'Zanuck Company, The']",['United States of America'],1025491110,108.0,Released,6.4,4645,2010,3,1
33,"['Hugh Jackman', 'Halle Berry', 'Ian McKellen']",['Brett Ratner'],210000000,"['Adventure', 'Action', 'Science Fiction', 'Thriller']","['mutant', 'marvel comic', 'based on comic book', 'superhuman', 'beast', 'cyclops', 'aftercreditsstinger']",en,X-Men: The Last Stand,3.857526,"['Ingenious Film Partners', 'Twentieth Century Fox Film Corporation', ""Donners' Company"", 'Dune Entertainment', 'Major Studio Partners', 'Bad Hat Harry Productions', 'thinkfilm', 'Marvel Enterprises', 'X3 Canada Productions', 'X3US Productions', 'XM3 Service']","['Canada', 'United Kingdom', 'United States of America']",459359555,104.0,Released,6.3,3525,2006,5,2
34,"['Billy Crystal', 'John Goodman', 'Steve Buscemi']",['Dan Scanlon'],200000000,"['Animation', 'Family']","['monster', 'dormitory', 'games', 'animation', 'best friend', 'university', 'scary', 'aftercreditsstinger']",en,Monsters University,89.186492,"['Walt Disney Pictures', 'Pixar Animation Studios']",['United States of America'],743559607,104.0,Released,7.0,3528,2013,6,2
35,"['Shia LaBeouf', 'Megan Fox', 'Josh Duhamel']",['Michael Bay'],150000000,"['Science Fiction', 'Action', 'Adventure']","['egypt', 'sun', 'chaos', 'symbol', 'artifact', 'transformers', 'tank', 'robot', 'imax', 'duringcreditsstinger']",en,Transformers: Revenge of the Fallen,21.939663,"['Paramount Pictures', 'DreamWorks SKG', 'Amblin Entertainment', 'Di Bonaventura Pictures', 'Platinum Dunes', 'Hasbro Studios', 'Revolution Sun Studios']",['United States of America'],836297228,150.0,Released,6.0,3138,2009,6,2
36,"['Mark Wahlberg', 'Stanley Tucci', 'Kelsey Grammer']",['Michael Bay'],210000000,"['Science Fiction', 'Action', 'Adventure']","['sequel', 'alien', 'transformers', 'giant robot', 'robot', 'imax', 'transforming robot']",en,Transformers: Age of Extinction,116.840296,"['Paramount Pictures', 'Amblin Entertainment', 'Di Bonaventura Pictures', 'Platinum Dunes', 'China Movie Channel', 'Hasbro Studios', 'Ian Bryce Productions', 'Revolution Sun Studios']",['United States of America'],1091405097,165.0,Released,5.8,3095,2014,6,2
37,"['James Franco', 'Mila Kunis', 'Rachel Weisz']",['Sam Raimi'],200000000,"['Fantasy', 'Adventure', 'Family']","['circus', 'witch', 'magic', 'hope', 'illusion', 'lost', 'magic trick', 'wizard', '3d']",en,Oz: The Great and Powerful,46.985445,"['Walt Disney Pictures', 'Roth Films']",['United States of America'],491868548,130.0,Released,5.7,3530,2013,3,1
38,"['Andrew Garfield', 'Emma Stone', 'Jamie Foxx']",['Marc Webb'],200000000,"['Action', 'Adventure', 'Fantasy']","['obsession', 'marvel comic', 'sequel', 'based on comic book', 'electrocution', 'medical experiment', 'electricity', 'super powers']",en,The Amazing Spider-Man 2,89.270217,"['Columbia Pictures', 'Marvel Enterprises', 'Avi Arad Productions', 'Matt Tolmach Productions']",['United States of America'],705717432,142.0,Released,6.5,4179,2014,4,2
39,"['Garrett Hedlund', 'Jeff Bridges', 'Olivia Wilde']",['Joseph Kosinski'],170000000,"['Adventure', 'Action', 'Science Fiction']","['artificial intelligence', 'secret identity', 'computer program', 'dystopia', 'computer', 'deception', 'duel', 'motorcycle', 'neon light', 'autocracy']",en,TRON: Legacy,73.79505,"['Walt Disney Pictures', 'LivePlanet', 'Prana Studios', 'Sean Bailey Productions', 'Revolution Sun Studios', 'Kontsept Film Company']",['United States of America'],400062763,125.0,Released,6.3,2841,2010,12,4
40,"['Owen Wilson', 'Larry the Cable Guy', 'Michael Caine']","['John Lasseter', 'Brad Lewis']",200000000,"['Animation', 'Family', 'Adventure', 'Comedy']","['car race', 'sequel', 'comedy', 'anthropomorphism', 'best friend', 'duringcreditsstinger']",en,Cars 2,49.98659,"['Walt Disney Pictures', 'Pixar Animation Studios']",['United States of America'],559852396,106.0,Released,5.8,2033,2011,6,2
41,"['Ryan Reynolds', 'Blake Lively', 'Peter Sarsgaard']",['Martin Campbell'],200000000,"['Adventure', 'Action', 'Thriller', 'Science Fiction']","['dc comics', 'transformation', 'superhero', 'alien', 'alien infection', 'magical object', 'protector', 'super powers', 'origin', '3d']",en,Green Lantern,51.872839,"['De Line Pictures', 'Warner Bros.', 'DC Entertainment']",['United States of America'],219851172,114.0,Released,5.1,2487,2011,6,2
42,"['Tom Hanks', 'Tim Allen', 'Ned Beatty']",['Lee Unkrich'],200000000,"['Animation', 'Family', 'Comedy']","['hostage', 'college', 'toy', 'barbie', 'animation', 'escape', 'day care', 'teddy bear', 'duringcreditsstinger', 'toy comes to life', 'personification', 'inanimate objects coming to life', 'toy story']",en,Toy Story 3,59.99541800000001,"['Walt Disney Pictures', 'Pixar Animation Studios']",['United States of America'],1066969703,103.0,Released,7.6,4597,2010,6,2
43,"['Christian Bale', 'Sam Worthington', 'Anton Yelchin']",['McG'],200000000,"['Action', 'Science Fiction', 'Thriller']","['saving the world', 'artificial intelligence', 'prophecy', 'san francisco', 'cyborg', 'killer robot', 'gas station', 'post-apocalyptic', 'dystopia', 'army', 'firearm', 'wartime', 'los angeles']",en,Terminator Salvation,71.862892,"['Columbia Pictures', 'The Halcyon Company', 'Wonderland Sound and Vision', 'Warner Bros.']","['Germany', 'Italy', 'United Kingdom', 'United States of America']",371353001,115.0,Released,5.9,2463,2009,5,2
44,"['Vin Diesel', 'Paul Walker', 'Dwayne Johnson']",['James Wan'],190000000,['Action'],"['car race', 'speed', 'revenge', 'suspense', 'car', 'race', 'muscle car']",en,Furious 7,102.32221700000001,"['Universal Pictures', 'Original Film', 'Fuji Television Network', 'Dentsu', 'One Race Films', 'China Film Co.', 'Québec Production Services Tax Credit', 'Media Rights Capital (MRC)', 'Abu Dhabi Film Commission', 'Colorado Office of Film, Television & Media']","['Japan', 'United States of America']",1506249360,137.0,Released,7.3,4176,2015,4,2
45,"['Brad Pitt', 'Mireille Enos', 'Abigail Hargrove']",['Marc Forster'],200000000,"['Action', 'Drama', 'Horror', 'Science Fiction', 'Thriller']","['dystopia', 'apocalypse', 'zombie', 'nuclear weapons', 'multiple perspectives', 'zombie apocalypse']",en,World War Z,81.834855,"['Paramount Pictures', 'GK Films', 'Skydance Productions', 'Hemisphere Media Capital', 'Apparatus Productions', 'Latina Pictures', '2DUX²']","['United States of America', 'Malta']",531865000,116.0,Released,6.7,5560,2013,6,2
46,"['Hugh Jackman', 'James McAvoy', 'Michael Fassbender']",['Bryan Singer'],250000000,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']","['1970s', 'mutant', 'time travel', 'marvel comic', 'based on comic book', 'superhuman', 'storm', 'beast', 'aftercreditsstinger', 'changing the past or future']",en,X-Men: Days of Future Past,118.07869099999999,"['Twentieth Century Fox Film Corporation', ""Donners' Company"", 'Marvel Entertainment', 'Bad Hat Harry Productions', 'TSG Entertainment', 'Down Productions', 'Revolution Sun Studios']","['United Kingdom', 'United States of America']",747862775,131.0,Released,7.5,6032,2014,5,2
47,"['Chris Pine', 'Zachary Quinto', 'Zoe Saldana']",['J.J. Abrams'],190000000,"['Action', 'Adventure', 'Science Fiction']","['spacecraft', 'friendship', 'sequel', 'futuristic', 'space', 'alien', 'imax', 'space opera', 'terrorist bombing', '3d']",en,Star Trek Into Darkness,78.29101800000001,"['Paramount Pictures', 'Skydance Productions', 'Bad Robot', 'Kurtzman/Orci']",['United States of America'],467365246,132.0,Released,7.4,4418,2013,5,2
48,"['Nicholas Hoult', 'Eleanor Tomlinson', 'Ewan McGregor']",['Bryan Singer'],195000000,"['Action', 'Family', 'Fantasy']","['based on fairy tale', 'giant']",en,Jack the Giant Slayer,43.349855,"['New Line Cinema', 'Original Film', 'Legendary Pictures', 'Warner Bros.', 'Big Kid Pictures', 'Bad Hat Harry Productions']",['United States of America'],197687603,114.0,Released,5.5,2598,2013,2,1
49,"['Leonardo DiCaprio', 'Tobey Maguire', 'Carey Mulligan']",['Baz Luhrmann'],105000000,"['Drama', 'Romance']","['based on novel', 'infidelity', 'obsession', 'hope', '3d']",en,The Great Gatsby,61.196070999999996,"['Village Roadshow Pictures', 'Bazmark Films', 'Warner Bros.', 'A&E Television Networks', 'Red Wagon Entertainment', 'Spectrum Films']","['United States of America', 'Australia']",351040419,143.0,Released,7.3,3769,2013,5,2
50,"['Jake Gyllenhaal', 'Gemma Arterton', 'Ben Kingsley', 'Alfred Molina']",['Mike Newell'],150000000,"['Adventure', 'Fantasy', 'Action', 'Romance']","['persia', 'sandstorm', 'brother against brother', 'armageddon', 'regent', 'based on video game']",en,Prince of Persia: The Sands of Time,62.169881000000004,"['Walt Disney Pictures', 'Jerry Bruckheimer Films']",['United States of America'],335154643,116.0,Released,6.2,2317,2010,5,2
51,"['Idris Elba', 'Charlie Hunnam', 'Charlie Day']",['Guillermo del Toro'],180000000,"['Action', 'Science Fiction', 'Adventure']","['dystopia', 'giant robot', 'giant monster', 'apocalypse', 'imax', 'duringcreditsstinger', '3d']",en,Pacific Rim,56.523205000000004,"['Legendary Pictures', 'Warner Bros.', 'Disney Double Dare You (DDY)', 'Indochina Productions']","['United States of America', 'Canada']",407602906,131.0,Released,6.7,4794,2013,7,3
52,"['Shia LaBeouf', 'John Malkovich', 'Ken Jeong']",['Michael Bay'],195000000,"['Action', 'Science Fiction', 'Adventure']","['moon', 'spacecraft', 'traitor', 'bodyguard', 'alien planet', 'based on cartoon', 'transformers', 'giant robot', 'sabotage', 'word domination', 'commando', 'duringcreditsstinger']",en,Transformers: Dark of the Moon,28.529607000000002,"['Paramount Pictures', 'Di Bonaventura Pictures', 'Indochina Productions', 'Hasbro Studios']",['United States of America'],1123746996,154.0,Released,6.1,3299,2011,6,2
53,"['Harrison Ford', 'Cate Blanchett', 'Shia LaBeouf']",['Steven Spielberg'],185000000,"['Adventure', 'Action']","['saving the world', 'riddle', 'whip', 'treasure', 'mexico city', 'leather jacket', 'machinegun', 'alien phenomenons', 'maya civilization', 'peru', 'treasure hunt', 'nuclear explosion', 'refrigerator', 'archaeologist', 'indiana jones', 'archeology\xa0']",en,Indiana Jones and the Kingdom of the Crystal Skull,75.674458,"['Lucasfilm', 'Paramount Pictures']",['United States of America'],786636033,122.0,Released,5.7,2495,2008,5,2
54,"['Raymond Ochoa', 'Jack Bright', 'Jeffrey Wright']",['Peter Sohn'],175000000,"['Adventure', 'Animation', 'Family']","['tyrannosaurus rex', 'friends', 'alternate history', 'dinosaur', 'fear', 'storm', 'nature', 'human', 'journey']",en,The Good Dinosaur,51.692953,"['Walt Disney Pictures', 'Pixar Animation Studios']",['United States of America'],331926147,93.0,Released,6.6,1736,2015,11,4
